name,site_url_2,icon_url_3,platform_names,google_play_url,app_store_url,screen_urls,Description,category_names,price,language_names,icon_url_2,facebook_username_2,twitter_username_2,site_url_1,icon_url_1,facebook_username_1,twitter_username_1
U.S. Presidents,https://play.google.com/store/apps/details?id=com.socratica.mobile.presidents&feature=search_result,,Android,https://play.google.com/store/apps/details?id=com.socratica.mobile.presidents&feature=search_result,," ,  ,  ,  ,  , https://lh6.ggpht.com/DHJH4zgHZqgg2nuz_j8qs0oYeD0hrZqgNeRgAqaM5hOqRFyRcA7Az831Bt-dHx7v2w=w124,  ,  ,  ,  ,  , https://lh4.ggpht.com/hOl7xjDz7IwujVyt-5PYpMRRS8D9xOc_gQKNiAqXbC5OGDP7Q7r_xBU0yCR3BNaZSPQj=h230,  https://lh3.ggpht.com/X-UT27aGcgT7QDd80QXg_q17lcuXtiyENO68308pMTYpw4wbZn7bHuYCFlf3hG57lCM=h230,  https://lh4.ggpht.com/KxvcpLxMd61farbGtt16p1AWEPCU2fcjZdOVxJ2OVh4uybRPc2s8vz3OvwkBGLbOOA=h230,  ,  ,  ,  ,  ,  ,  ","Learn about the U.S. presidents - years in office, birthplace, trivia, party, vice presidents and more. Test yourself with Quiz mode. Find presidents by search or index. Kick-back and enjoy a presidential parade!",Education,0.0,English,,,socratica,http://www.presidentsusa.net/, ,SocraticaStudios,
Uchaguzi,http://www.uchaguzi.co.ke/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/my95F81.png?1",Uchaguzi (“decision” in Swahili) was developed to monitor Kenya's 2010 constitutional referendum.,Governance,,,,,uchaguzi, ,https://uchaguzi.co.ke/themes/uchaguzi/images/logo-uchaguzi.png?,UchaguziKenya2013,
Understoodit,https://understoodit.com/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/6etmedm.jpg","a new web-based app called Understoodit wants to take the fear out of learning by allowing students to anonymously communicate confusion.  The creator of Understoodit, Toronto-based software developer Liam Kaufman, used to be one of those students who didn't want to ""look like an idiot by saying I was confused in front of two hundred classmate,"" he says. To solve the problem, he developed the app, testing it out on first-year computer classes at the University of Toronto.   To use Understoodit, a teacher simply sets up an account, then grants students access to log in through their smartphones, tablets, or laptops. As the teacher lectures, the students can click two options, ""understood"" or ""confused."" The program funnels real-time data back to the teacher's laptop, enabling her to re-explain and boost the class' comprehension. ",Education,,,,,, , ,UnderstoodIt,Understoodit
UNIEQ,https://play.google.com/store/apps/details?id=de.novamedia.unieqbox&feature=search_result,https://lh3.ggpht.com/rAxEY7erwfWmBJNUB2LNUH7hPcS0ybOjNn2Quh_r8wkpTL6VO9WFBcVyhrsVfJO8ivqa=w124,Android,https://play.google.com/store/apps/details?id=de.novamedia.unieqbox&feature=search_result,,"https://lh5.ggpht.com/yl-PQRoTkjlG_BHueGrJB9tokxL0efvp77jus87lxBrzfBEpmWVIWY30GLM39V9jqtM=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","The UNIEQ App unfolds its full potential in conjunction with an intelligent meter and the UNIEQ-System! Please note:  If not connected to a UNIEQ system, you can run the App in the offline mode. No data will be shown.",Environment,0.0,English,,,,http://www.iequalize.de/cms/, , ,
United Way NE,https://play.google.com/store/apps/details?id=com.myintouchmobile.app100060&feature=search_result,,Android,,," ,  ,  ,  ,  , https://lh5.ggpht.com/meNJOo93mdrkdzXFzZr9hTt-V01CF2Dz_8hWMq0LkbFwsLCqA4eGIYT4Hyzt138aDAM=w124,  ,  ,  ,  ,  , https://lh5.ggpht.com/NjeVNRD5gL_lwBa90P5t0onBjJ6wXWNAZMr_NKv6NKXZF1ZUVEQ9UniSo5K56kU1ig=h230,  https://lh6.ggpht.com/AlqpCNdRKit_2KVipnfMDnQcVMqDPvBgSMFWE_x3LMTWPBMO_6qxkSbCjkB01A6IVA=h230,  https://lh3.ggpht.com/rNURJCwkOGItnlAgVx1cYZ-JUA0OkpPCYBEXcXz2x5yWVvsMIFMXcLG8Nyl5r-hGL4jT=h230,  https://lh3.ggpht.com/EqkBfS2i0FqXu8J95yMGDSQaSKlw5OBGXkeknXtAdiAHhdI2mPdb3L5eVr-_sxs5XQ=h230,  ,  ,  ,  ,  ,  ",The mission of United Way of Wayne County is to increase the capacity of the people of Wayne County to care for one another by identifying human needs and supporting programs that have the greatest impact on improving lives. Priority program focus areas include Education; Health & Wellness; Financial Stability; Community Enhancement & Stabilizing Personal Crisis. These are the building blocks for a better life for many people in our community.,Activism,0.0,English,,,intouchinfo,http://unitedwayne.org/,https://lh5.ggpht.com/meNJOo93mdrkdzXFzZr9hTt-V01CF2Dz_8hWMq0LkbFwsLCqA4eGIYT4Hyzt138aDAM=w124, ,
UP2CODE,https://play.google.com/store/apps/details?id=com.seeclickfix.up2code.app&feature=search_result,,Android,https://play.google.com/store/apps/details?id=com.seeclickfix.up2code.app&feature=search_result,," ,  ,  ,  ,  , https://lh3.ggpht.com/5cysNnpa1rtVP5pnH44eFYKXggQtTaw6pFPEskkvAnQEz6r1emIKr_KF-64J_tBYU50=w124,  ,  ,  ,  ,  , https://lh3.ggpht.com/eWDU_qRxDOISepkyhqePgJnQuHKo8BCNgLG4__W0INTcuoMnVwFW1oFxR3bVJvohbJg=h230,  https://lh6.ggpht.com/kE_cYWl1Q2HDGUEbwthCVwgk71KfpdoXZqwHtpi-wD8J_3T3qD9eqXWNm7kdsO5UH7I8=h230,  https://lh3.ggpht.com/hpcn4o62GrDdm9_1ewPD3K0RbPbYt6nrwLK4LYXxMcXkotzFGOmqmnVycyWJ0lIOGw=h230,  https://lh5.ggpht.com/-44CK_k8EczZ_RXEwlWCbVcFVy3HrRqKoLkrVlpBsrOT7p6S-DNVZtp7zDWrz_mAuao=h230,  https://lh4.ggpht.com/FwLcvp9xkdv9IIus9FEP-DwpQeP_A22jGZ2hnOVCHPxSzv5YaAr3DvTfizYzAgpzLbI=h230,  ,  ,  ,  ,  ","UP2CODE is an easy way for San Francisco residents to report and track non-emergency code enforcement issues to the Office of the City Attorney. Residents can be proactive by using the app to collaborate with the San Francisco City Attorney's Office in improving their neighborhoods. Together we can make San Francisco a safe and beautiful place to live, work, and play!","Activism, Governance",0.0,English,,,seeclickfix,https://lh3.ggpht.com/5cysNnpa1rtVP5pnH44eFYKXggQtTaw6pFPEskkvAnQEz6r1emIKr_KF-64J_tBYU50=w124,https://lh3.ggpht.com/5cysNnpa1rtVP5pnH44eFYKXggQtTaw6pFPEskkvAnQEz6r1emIKr_KF-64J_tBYU50=w124,SeeClickFix,
Urban Farming Update,https://play.google.com/store/apps/details?id=com.conduit.app_28a26a8cd879497b937eb7da7ebf1588.app&feature=search_result,https://lh3.ggpht.com/uubWadKQfuSbn5nvHHJLB58Lp4aleEjlY-HpALdZSgWnUbdQqbuI8OISjJQ7Ci7WU04=w124,Android,https://play.google.com/store/apps/details?id=com.conduit.app_28a26a8cd879497b937eb7da7ebf1588.app&feature=search_result,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Ever wanted to have complete control over your food and feed your family Healthy, organic meals at virtually no cost? Well, now you can... When you become an Urban Farmer! This app was designed to provide you with up to date information about Urban Farming, Livestock in the city and provide helpful instructions for the beginning Urban Farmer.",Environment,0.0,English,,,, , ,urbanfarm,UrbanFarming
Urbanflow Engine,http://www.urbanflowengine.com,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/jiVyj4h.png,  ","Urbanflow Engine is a decision-making and planning tool for professionals in city planning departments, non-profit organizations, and private consulting companies who work on planning for new investments in urban infrastructure projects.  We have built a customizable spatial analysis tool that helps compare different scenarios using user-supplied data and inputs from public data sources. &nbsp;The analysis is done through our web-based User Interface and simulation technology. We use modern web technologies and support import of open data to conduct scenario analysis, measure network efficiency and emissions, and generate insights on usage to help in planning for future investments through scenario analysis.",Governance,,,http://www.urbanflowengine.com/media//fluid/images/logo.png,,urbanflowengine, , , ,
UrbanGardenshare,http://www.urbangardenshare.org/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/Mk8pVio.png,  ",Facilitates the matching of interested gardeners with space in community gardens or other agricultural space throughout the City. The current issue is that that demand often builds up for well known garden spaces (in the form of multi-year waiting lists) and startup gardens have trouble attracting enough involvement.,Environment,,,http://www.urbangardenshare.org/media//images/header.png,,, , , ,UrbanGardenShre
Ushahidi,http://www.ushahidi.com/,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/9xNkdVB.jpg,  "," The Ushahidi Engine is a platform that allows anyone to gather distributed data via SMS, email or web and visualize it on a map or timeline.","Activism, Governance",,,,ushahidi,ushahidi, ,http://www.ushahidi.com/-/images/bg-footer-logo.png, ,
Ustad Mobile,http://www.wired.co.uk/news/archive/2012-11/14/afghan-smartphone-literacy,,Web,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , http://i.imgur.com/siTgVuX.jpg,  ","Smartphone software designed to improve literacy among women in Afghanistan has been launched and rolled out to 100 students for free.  Ustad Mobile, also known as Mobile Teacher, is the brainchild of Afghan IT consultancy Paiwastoon Networking Services and the Ministry of Education, and was developed using $80,000 (£50,400) in US aid. It's hoped the software will be a major step towards the government's target of achieving 48 percent literacy among those over 15, by 2015. According to CIA figures, just 28.1 percent of those aged over 15 can read and write, and only 12.6 percent of women can read.  The software, which teaches two languages -- Dari and Pashto -- and has mathematics tutorials, is targeting the country's 18 million mobile contract subscribers -- a fair chunk of its 30.4 million-strong population",Education,,,,,, , , ,
Ustream Live Broadcaster,www.ustream.tv/,https://lh6.ggpht.com/co_NM8OiGrLtenZe0ZYxrIy5EWitWx9k3EUH4m-6TNRrQ4Xakh563WdTzQ7VfPLOkVk=w124,"iOS, Desktop, Android",https://play.google.com/store/apps/details?id=tv.ustream.ustream&feature=search_result#?t=W251bGwsMSwyLDEsInR2LnVzdHJlYW0udXN0cmVhbSJd,https://itunes.apple.com/us/app/ustream/id301520250?mt=8,"https://lh4.ggpht.com/RAoJMHrgA78bbzpWEcqgfGmJGuHH5-zP4WIL3h8iFIFJ6PA0rq0YQAE16dkLF7SB1A=h230, https://lh3.ggpht.com/fo8toicXfKpMg3GXQmxaLazM3hVAzNOVIVaACt9idnA-M6oLBrtL3fAj3-6opo7lwj2Y=h230,  ,  , https://lh6.ggpht.com/80_CHwmehgTQNH_sIjJKtMl369xNDL7Ef4cF6a4a9UvP7af7PnkpzEVz-o1wcnQTuA=h230,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ",Your humble iPhone 4 becomes a HD television camera with live broadcaster. Film protests as they happen and stream them live to the world. Who needs Sky News with its multi-million cameras and satellite uplink vans – this is citizen broadcast journalism. ,Activism,0.0,English,,ustream,, , , ,ustream
Verde,http://www.verdel3c.com/,,iOS,,," ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Verde lets you take an inventory of the electrical appliances, gadgets, and lights you already have, and then calculates the total energy consumption along with the expected costs (based on your local electricity rates). Choose your appliances from their list, or add your own, and then customize the data to your liking. The app then suggests changes you can make to save both energy and money.",Environment,0.0,English,,,verdeL3C, ,http://www.verdel3c.com/blog/wp-content/uploads/2012/10/Verde_green-on-white.jpg,verdeL3C,
Vibe,http://vibearound.com/,https://lh6.ggpht.com/JicAuvgLTMGOXbpCLedzIRWabA-5I9es7tmPQLyVRuWnU44pp_17u-9RVLSmIisbKA=w124,iOS,https://play.google.com/store/apps/details?id=com.zami.vibe.app,https://itunes.apple.com/us/app/vibe/id433067417,"https://lh4.ggpht.com/Y37s4G1YgN1hSK5xR0iqaVbDxbEKYEElOWnO-2oQLZduPLtd_rtSHZUku1ltqrLj4IU=h230, https://lh4.ggpht.com/rFgWiwsk4MfxQo7ArRQnBC0Uw9v4B-8KvOgfrbeeww8hTKoNqRskchwOq43ngjMVTRpO=h230,  ,  ,  ,  , http://a1454.phobos.apple.com/us/r1000/096/Purple/v4/dc/7c/f1/dc7cf104-8831-504a-9213-2ad8e72a561c/mzl.hnhbaasa.320x480-75.jpg, http://a650.phobos.apple.com/us/r1000/087/Purple/v4/cc/ca/67/ccca672a-3ac1-dde9-d9c6-53a53c74bdfd/mzl.nkoinmxn.320x480-75.jpg, http://a742.phobos.apple.com/us/r1000/099/Purple/v4/c0/62/09/c06209e4-ec22-062e-b4f7-83840ad9c236/mzl.lsrrwckm.320x480-75.jpg, http://a473.phobos.apple.com/us/r1000/090/Purple/v4/ed/46/56/ed4656e2-7382-965b-7906-2aee88001935/mzl.errboosw.320x480-75.jpg, http://a1927.phobos.apple.com/us/r1000/075/Purple/v4/d4/1e/c7/d41ec7c2-a4e3-ff64-4d57-a824a5f1ae9b/mzl.gxhvswks.320x480-75.jpg,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ","Vibe is a revolutionary mobile app for discovering and participating in the vibe around you, whether in a conference, concert, rally, building, neighborhood, campus, or even the iPhone 5 line. Yes, it's that flexible and that powerful.   Vibe users communicate via messages that have a GPS location, a broadcast distance, and a time duration - without registration, login, account, or profile.  ",Activism,0.0,English,,VibeApp,, , , ,VibeApp
